56,"OSCEOLA, VILLAGE OF",5203-07,"Construct WTP at Well #4 for Iron/Mang, Pump & Piping Mods","$3,450,000.00",NO,Andruczyk,
56,"RIPON, CITY OF",5289-16,Replace Watermains on Griswold St,"$500,000.00",NE,Hannes,
56,"NIAGARA, CITY OF",4862-06,Replace WMs on Hill and Forest Streets,"$2,535,185.00",NE,Hannes,
55,"BEAVER DAM, CITY OF",4764-16,Replace WMs on Front and Beaver Streets,"$2,000,000.00",SC,Zettl,
54,"RANDOM LAKE, VILLAGE OF",4889-07,Construct Well #3,"$3,500,000.00",SE,Binder,
54,"CASSVILLE, VILLAGE OF",5469-09,Replace WM Jo Davies St,"$400,000.00",SC,Zettl,
54,"GRATIOT, VILLAGE OF",5197-07,Replace WM on Noble St,"$1,685,000.00",SC,Zettl,
53,"NIAGARA, CITY OF",4862-16,Replace WM on Mills St,"$509,955.00",NE,Hannes,
53,"EDGERTON, CITY OF",4800-09,Replace WM on W Fulton St.,"$900,000.00",SC,Zettl,
52,"MOSINEE, CITY OF",5536-09,Conduct 2nd River Crossing/Transfer Station,"$3,500,000.00",WC,Jaromin,
52,"PIGEON FALLS, VILLAGE OF",5162-01,Construct New Well & Connections; Upgrade Treatment Facility,"$1,500,000.00",WC,Jaromin,
52,"ALTOONA, CITY OF",5209-07,Construct Well #10,"$3,000,000.00",WC,Jaromin,
52,"OSCEOLA, VILLAGE OF",5203-09,Replace Bluff Watermain,"$2,050,000.00",NO,Andruczyk,
52,"VESPER, VILLAGE OF",5549-07,Replace Raw Watermain from Wells to Treatment Plant,"$743,162.00",WC,Jaromin,
52,"ROTHSCHILD, VILLAGE OF",4896-20,Replace WM on Military Rd,"$1,135,690.00",WC,Jaromin,
52,"CAMP DOUGLAS, VILLAGE OF",5468-04,Replace WMs on Murray and Good Sts.,"$1,200,000.00",WC,Jaromin,
51,"BEAVER DAM, CITY OF",4764-18,Replace WM on Madison St from Chatham to Rowell,"$4,200,000.00",SC,Zettl,
51,"THORP, CITY OF",4922-22,"Replace WM on Main, Thorp, and Clark Streets","$1,027,391.00",WC,Jaromin,
50,"BLACK EARTH, VILLAGE OF",5484-05,Rehabilitate Well #1,"$2,500,000.00",SC,Zettl,
50,"BLACK EARTH, VILLAGE OF",5484-04,Rehabilitate Well #2,"$1,800,000.00",SC,Zettl,
50,"LA FARGE, VILLAGE OF",4827-07,Replace WM on Adams St,"$850,000.00",WC,Jaromin,
50,"DOUSMAN, VILLAGE OF",5382-06,"Replace WM on Edwards, Tabot, Franklin, William, Etc","$3,600,000.00",SE,Binder,
50,"BEAVER DAM, CITY OF",4764-14,Replace WM on Madison St from Curie to Chatam,"$7,500,000.00",SC,Zettl,
